,datetime,link,lanes,limit,length,bump,camera,CONV,KINDER,TRAVEL,SCHOOL,BROKER,label
429,2020-01-13 12:00,1020003302,3,1,300.6356,1,0,0,0,0,0,0,0
430,2020-01-13 12:10,1200040300,0,4,411.9241,1,0,0,0,0,0,1,0
431,2020-01-13 12:25,1140026600,1,1,114.0701,0,0,0,0,0,0,0,0
432,2020-01-13 12:40,1130025901,1,0,220.5675,0,0,1,1,1,0,1,0
433,2020-01-13 12:50,1220099500,0,2,210.9599,0,0,0,0,0,0,0,0
434,2020-01-13 12:55,1070036500,0,3,36.8231,0,0,0,0,0,0,0,0
434,2020-01-13 12:55,1070036500,0,3,36.8231,0,0,0,0,0,0,0,0
437,2020-01-13 13:05,1230045400,3,3,263.134,0,0,0,1,1,0,0,0
437,2020-01-13 13:05,1230045400,3,3,263.134,0,0,0,1,1,0,0,0
439,2020-01-13 13:15,1080024100,0,0,27.3027,0,0,0,0,0,0,0,0
441,2020-01-13 13:20,1180111900,0,3,56.5978,1,0,0,0,0,0,0,0
443,2020-01-13 13:35,1240035400,1,0,154.5578061,0,0,0,0,1,0,1,0
444,2020-01-13 13:45,1220016601,3,2,160.6268,1,0,1,0,0,0,1,0
445,2020-01-13 14:00,1050039200,0,2,111.4771,0,0,1,0,1,0,1,0
445,2020-01-13 14:00,1050039200,0,2,111.4771,0,0,1,0,1,0,1,0
447,2020-01-13 14:15,1100015701,1,3,54.5476,0,0,0,0,0,0,0,0
449,2020-01-13 14:35,1040010600,1,1,178.201,0,0,1,0,1,0,1,0
450,2020-01-13 14:45,1060002403,0,1,30.4569,0,0,0,0,0,0,0,0
454,2020-01-13 16:25,1060015702,1,3,204.4162,0,0,1,0,1,0,0,0
455,2020-01-13 16:30,1190029600,0,3,72.7147,0,0,1,0,0,0,0,0
457,2020-01-13 16:40,1100054400,0,0,240.5062,0,0,0,0,0,0,0,0
461,2020-01-13 18:20,1220026602,3,2,203.2384,0,0,1,0,0,0,0,0
462,2020-01-13 18:25,1220031301,3,1,218.5533,0,1,1,0,1,0,1,0
463,2020-01-13 19:25,1000023500,0,3,97.8628,0,0,1,0,1,0,1,0
464,2020-01-14 0:25,1230023701,1,1,156.4721,0,0,0,0,0,0,0,0
